,function,size,pvalue,statistic
746,do_arch_prctl_64,56,7.210931642601707e-15,23.220817178922946
1441,pte_offset_map_nolock,56,7.373411510911485e-15,23.191179499232934
1138,free_rb_tree_fname,56,7.479929486658122e-15,-23.172120860688672
993,free_pgd_range,56,7.54264650348394e-15,23.16103258300266
1149,get_pid_task,56,8.473336160051211e-15,23.00703790240147
214,aa_unix_connect_perm,56,8.646882169114016e-15,27.064065290274424
1126,find_get_pid,56,9.376558686336321e-15,22.873761364365595
73,apparmor_file_mprotect,56,1.0380165493217935e-14,26.75041912659004
1682,inode_add_lru,56,1.0465728767537737e-14,33.15774369612437
758,downgrade_write,56,1.0505835161689625e-14,22.72499197616003
247,audit_alloc,56,1.1137005364051135e-14,26.630532824957317
901,find_task_by_pid_ns,56,1.2393196838207987e-14,22.510463222793955
1453,proc_self_get_link,56,1.3187039676541298e-14,22.430336200460893
152,acct_collect,56,1.4042691695813025e-14,26.239243206062664
752,ext4_getattr,56,1.5501415947808115e-14,-22.222904888711092
689,ext4_htree_next_block,56,1.5969091340138448e-14,-22.18496954210125
992,ihold,56,1.6897800140516345e-14,22.112990929481224
16,aa_put_buffer,56,1.73712947345554e-14,25.885057220070177
467,set_next_entity,56,1.7484956502705505e-14,22.06960327875991
1574,inode_wait_for_writeback,56,1.798354186672747e-14,31.884772482097105
1406,proc_exec_connector,56,1.858854823930195e-14,21.992057811336945
1358,propagate_protected_usage,56,1.9121890320657382e-14,21.9563031918759
753,dup_user_cpus_ptr,56,1.913715072151675e-14,21.95529567515503
360,set_close_on_exec,56,2.0082490165392973e-14,21.894479598089116
1448,pid_vnr,56,2.0388099381163475e-14,21.87546231934213
860,current_save_fsgs,56,2.065142460689657e-14,21.859315600743987
114,align_vdso_addr,56,2.2804792040733426e-14,25.43856931450032
62,alloc_pages,56,2.489528476186661e-14,25.296250910278662
382,shmem_get_folio_gfp,56,2.5592952949522087e-14,21.591022409354892
440,security_bprm_committing_creds,56,2.5718993435218542e-14,21.584914611595558
189,cpuset_can_fork,56,2.6327967185650812e-14,25.205855776614843
429,security_inode_setattr,56,2.7653897633995222e-14,21.494918977597305
1455,pfn_modify_allowed,56,2.797223851877862e-14,21.48075013411395
1319,posix_acl_create,56,3.0118234942767066e-14,21.389455255230462
1542,init_dl_task_timer,56,3.072385072313806e-14,30.672286819039847
155,arch_mmap_rnd,56,3.387306546744379e-14,24.802559538602083
478,set_binfmt,56,3.411604569599687e-14,21.236333763699466
140,balance_runtime,56,3.466375851912356e-14,24.765938557340696
415,sched_core_free,56,3.605477223650812e-14,21.16875655271497
1429,pid_task,56,3.9133352606048495e-14,21.06894480454446
1103,find_attach,56,4.121022948498427e-14,21.006176113449825
229,apparmor_task_free,56,4.219196108451689e-14,24.456102172286474
1553,irq_chip_ack_parent,56,4.3904715550573754e-14,29.889163903002522
137,copy_creds,56,4.418457620946802e-14,24.383889481085284
453,shmem_add_to_page_cache,56,4.5186165074589566e-14,20.894805747424087
1244,put_pid_ns,56,4.549748326098451e-14,20.886525406168833
813,ext4_block_write_begin,56,4.634904517097642e-14,20.86417721482369
269,arch_dup_task_struct,56,5.1352073377503444e-14,24.150045694881822
1391,mnt_want_write,56,5.1965950286412665e-14,20.72680881388823
499,release_user_cpus_ptr,56,5.500487424640514e-14,20.65886918086662
1741,mm_find_pmd,56,5.719396272751923e-14,29.321638528710928
865,ext4_journal_check_start,56,6.027063906517837e-14,20.550010853706603
898,ext4_xattr_block_get,56,6.717088751563035e-14,20.421629974392335
323,security_file_open,56,7.66953807200966e-14,20.265584256132293
1324,name_to_int,56,8.40394668703415e-14,20.15861182934126
450,set_user_sigmask,56,8.832794212215914e-14,20.100609385995604
635,do_vfs_ioctl,56,9.196829950712922e-14,20.053654224896643
1501,init_numa_balancing,56,9.712224202815417e-14,28.216393967712136
630,do_memsw_account,56,1.0373613670449429e-13,19.91426464585281
298,sched_mm_cid_fork,56,1.0406902258903556e-13,19.910567886531265
639,ext4_llseek,56,1.0546363307159054e-13,19.895214694395577
1608,lock_vma_under_rcu,56,1.0643491368251929e-13,28.029414941585685
164,activate_task,56,1.185460277182987e-13,22.88704283047292
627,current_time,56,1.253839138829859e-13,19.69665387699922
902,get_nr_inodes,56,1.2617909530151204e-13,19.68943296656762
1339,noop_dirty_folio,56,1.2960874382488064e-13,19.658828515052257
1230,obj_cgroup_uncharge_pages,56,1.3106944339513462e-13,19.646052041240992
1174,find_submount,56,1.3227842728667933e-13,19.635590182066593
1274,put_prev_task_stop,56,1.489049503143822e-13,19.501139328807184
454,remove_vm_area,56,1.501078407445643e-13,19.49203337926681
356,simple_copy_to_iter,56,1.5604861220586526e-13,19.44816004686325
1718,init_dl_inactive_task_timer,56,1.6559718244250865e-13,27.143486193254297
1700,lookup_memtype,56,1.830219965220226e-13,26.946750196266805
32,arch_get_unmapped_area_topdown,56,1.860106085460252e-13,22.23304249182942
296,set_shrinker_bit,56,1.8792779827301965e-13,20.5769461402138
71,arch_pick_mmap_layout,56,1.8847995513504065e-13,22.21416520021931
1582,kthread_blkcg,56,2.1525846733739105e-13,26.630652506862532
1289,put_ipc_ns,56,2.3352207432624754e-13,18.99780085206167
37,apparmor_path_mknod,56,2.544138828966101e-13,21.78883315822099
1196,filename_lookup,56,2.564849067469254e-13,18.89438565165947
1427,proc_exit_connector,56,2.645957386129648e-13,18.86017175391157
818,do_dentry_open,56,2.792970067628962e-13,18.800882543099988
1394,nohz_run_idle_balance,56,2.844157312651653e-13,18.78100720852541
